Rok,IČO,Název IČO,IČZ,Název IČZ,IČP,Název IČP,"Kód nasmlouvané odbornosti",Název odbornosti,Typ nasmlouvané odbornosti,"Kód ZP",Parametr,"Hodnota 2023"
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002020,Nem. Milosrdných sester sv. Karla Borom.,01002020,Nemocnice Milosrdných sester sv. Karla ,9H9,ošetřovatelská lůžková péče - typ H,H,207,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,,209,Počet OD,19
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,,201,Počet OD,34
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,V,205,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,7I8,resuscitační lůžková péče - ARO - typ I,,209,Počet lůžek,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,H,207,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,5I1,intenzivní LP chirurgie - typ I,H,207,Počet OD,86
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,7I8,resuscitační lůžková péče - ARO - typ I,,209,Počet OD,x
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,7I8,resuscitační lůžková péče - ARO - typ I,V,207,Počet lůžek,5
2023,73634085,Nemocnice Milosrdných sester sv. Karla Boromejského v Praze,01002000,Nem.Mil.sester sv.K.Boromej.v Praze,01002032,CHIP,7I8,resuscitační lůžková péče - ARO - typ I,V,207,Počet OD,x
