"rok_platnosti","icz_nazev","ico","icz","okres","typsub","STAN","JIP","LDN","OSET","OLU","HOSP","NIP","DIOP","pocet_od_akutni_stan","pocet_od_akutni_int","pocet_od_nasledna"
2014,"Rehabilitační centrum Čeladná s.r.o.","25868951","86110000","CZ0802","Odborné léčebné ústavy",0,0,0,0,221,0,0,0,0,0,66688
2014,"Rehabilitační ústav Brandýs nad Orlicí","00853879","70012000","CZ0534","Odborné léčebné ústavy",0,0,0,0,150,0,0,0,0,0,51030
2014,"Rehabilitační ústav Hrabyně","00601233","90158000","CZ0805","Odborné léčebné ústavy",0,0,0,0,373,0,0,0,0,0,133353
2014,"Rehabilitační ústav Kladruby","00068705","20105000","CZ0201","Odborné léčebné ústavy",0,0,0,0,250,0,0,0,0,0,80275
2014,"Revmatologický ústav","00023728","02001000","CZ0100","Fakultní nemocnice",50,0,0,0,0,0,0,0,12638,0,0
2014,"Rokycanská nemocnice,  a.s.","26360900","47113000","CZ0326","Nemocnice následné (ošetřovatelské) péče",0,0,0,30,0,0,0,0,0,0,1949
2014,"Rokycanská nemocnice, a.s.","26360900","47101000","CZ0326","Nemocnice",108,9,0,0,0,0,0,0,28711,1750,0
2014,"SANATORIUM EDEL s.r.o.","49609599","95683000","CZ0711","Odborné léčebné ústavy",0,0,0,0,93,0,0,0,0,0,25346
2014,"SENIOR CZ, s.r.o.","25413244","59314000","CZ0427","Odborné léčebné ústavy",0,0,0,0,30,0,0,0,0,0,9891
2014,"SOaL okresu Trutnov","00195201","69034000","CZ0525","Odborné léčebné ústavy",0,0,0,0,159,0,0,0,0,0,52106
2014,"SOaL okresu Trutnov","00195201","69034002","CZ0525","Odborné léčebné ústavy",0,0,0,0,30,0,0,0,0,0,7507
2014,"Sanatorium Jablunkov, a.s.","27835545","86113000","CZ0802","Léčebna pro dlouhodobě nemocné (LDN)",0,0,30,36,105,0,0,0,0,0,53708
2014,"Sanatorium Kochova s.r.o.","02402106","87070000","CZ0803","Nemocnice následné (ošetřovatelské) péče",0,0,0,60,0,0,0,0,0,0,16360
2014,"Sdružené zdravotnické zařízení Krnov,p.o","00844641","85600000","CZ0801","Nemocnice",270,29,0,0,0,0,0,8,67482,7030,1976
2014,"Sdružené zdravotnické zařízení Krnov,p.o","00844641","85780000","CZ0801","Léčebna pro dlouhodobě nemocné (LDN)",0,0,45,150,25,0,0,0,0,0,64386
2014,"Slezská nemocnice v Opavě, příspěv. org.","47813750","90001000","CZ0805","Nemocnice",443,44,0,0,0,0,0,0,106920,11808,0
2014,"Slezská nemocnice v Opavě, příspěv. org.","47813750","90604000","CZ0805","Léčebna pro dlouhodobě nemocné (LDN)",0,0,48,0,0,0,0,0,0,0,17690
2014,"Soc. a zdravotní centrum Letiny s.r.o.","63504502","44109000","CZ0324","Nemocnice následné (ošetřovatelské) péče",0,0,0,30,0,0,0,0,0,0,10564
2014,"Stodská nemocnice, a.s.","26361086","45001000","CZ0324","Nemocnice",120,8,0,0,0,0,0,0,27553,2169,0
2014,"Stodská nemocnice, a.s. - LDN","26361086","45002000","CZ0324","Léčebna pro dlouhodobě nemocné (LDN)",0,0,57,0,0,0,0,0,0,0,16690
2014,"Státní léčebné lázně Janské Lázně, s.p.","00024007","69022000","CZ0525","Odborné léčebné ústavy",0,0,0,0,140,0,0,0,0,0,38109
2014,"SurGal Clinic s.r.o.","46965033","72186000","CZ0642","Nemocnice",60,6,0,0,0,0,19,0,11589,2292,6125
2014,"Sušická nemocnice s.r.o.","08176302","43010000","CZ0322","Nemocnice",71,8,65,0,0,0,0,0,16670,1803,20256
2014,"THERÁPON 98, a. s.","25399195","88012000","CZ0804","Léčebna pro dlouhodobě nemocné (LDN)",0,0,41,0,0,0,0,0,0,0,14765
2014,"TRN - Léčebna v Mirošově - Janově","00669784","47102000","CZ0326","Odborné léčebné ústavy",0,0,0,0,130,0,0,0,0,0,37590
2014,"TŘI, z.ú.","18623433","20121000","CZ0201","LZ hospicového typu poskytující paliativní péči",0,0,0,0,0,30,0,0,0,0,8225
2014,"Uherskohradišťská nemocnice a.s.","27660915","80001000","CZ0722","Nemocnice",446,44,0,0,0,0,10,0,117505,11164,2910
2014,"Uherskohradišťská nemocnice a.s.","27660915","80003000","CZ0722","Léčebna pro dlouhodobě nemocné (LDN)",0,0,83,30,0,0,0,0,0,0,41267
2014,"Vazební věznice a ÚpVZD Brno","00212423","72046000","CZ0642","Nemocnice",65,0,0,0,0,0,0,0,11023,0,0
2014,"Vazební věznice a ÚpVZD Brno","00212423","72059000","CZ0642","Nemocnice následné (ošetřovatelské) péče",0,0,0,48,0,0,0,0,0,0,3956
2014,"Vojenská nemocnice Brno","60555530","72037000","CZ0642","Nemocnice",192,20,0,0,0,0,0,0,50574,4917,0
2014,"Vojenská nemocnice Olomouc","60800691","89382000","CZ0712","Léčebna pro dlouhodobě nemocné (LDN)",0,0,23,0,0,0,0,0,0,0,4722
2014,"Vojenská nemocnice Olomouc","60800691","89903000","CZ0712","Nemocnice",202,15,0,0,0,0,10,0,44262,3446,986
2014,"Vojenský rehabilitační ústav","00000582","29005000","CZ020A","Odborné léčebné ústavy",0,0,0,0,150,0,0,0,0,0,50603
2014,"Vsetínská nemocnice a.s.","26871068","94101000","CZ0723","Nemocnice",239,20,0,0,0,0,0,0,54254,5449,0
2014,"Vsetínská nemocnice a.s.","26871068","94210000","CZ0723","Léčebna pro dlouhodobě nemocné (LDN)",0,0,85,0,0,0,0,0,0,0,30423
2014,"Vysokomýtská nemocnice","71207856","70052000","CZ0534","Léčebna pro dlouhodobě nemocné (LDN)",0,0,120,0,0,0,0,0,0,0,36860
2014,"Vysočinské nemocnice s.r.o.","25257005","60224000","CZ0633","Léčebna pro dlouhodobě nemocné (LDN)",0,0,177,15,70,0,0,0,0,0,76848
2014,"Všeobecná fakultní nemocnice v Praze","00064165","02004000","CZ0100","Fakultní nemocnice",1205,229,0,19,0,0,0,0,268796,58877,8690
2014,"Všeobecná fakultní nemocnice v Praze","00064165","02276000","CZ0100","Odborné léčebné ústavy",0,0,0,0,66,0,0,0,0,0,17237
2014,"Všeobecná fakultní nemocnice v Praze","00064165","02405000","CZ0100","Odborné léčebné ústavy",0,0,0,0,20,0,0,0,0,0,1409
2014,"Zařízení následné reh. a hosp. péče,p.o.","69979821","42441000","CZ0412","Léčebna pro dlouhodobě nemocné (LDN)",0,0,80,0,0,0,0,0,0,0,26091
2014,"ÚVN-Vojenská fakultní nemocnice Praha","61383082","06051000","CZ0100","Fakultní nemocnice",467,68,0,28,0,0,0,0,118702,18790,7113
2014,"ÚVN-Vojenská fakultní nemocnice Praha","61383082","06419000","CZ0100","Odborné léčebné ústavy",0,0,0,0,14,0,0,0,0,0,4611
2014,"ÚVN-Vojenská fakultní nemocnice Praha","61383082","06530000","CZ0100","Léčebna pro dlouhodobě nemocné (LDN)",0,0,26,0,0,0,0,0,0,0,9390
2014,"ÚVN-Vojenská fakultní nemocnice Praha","61383082","06566000","CZ0100","Samostatné lůžkové zařízení s péčí DIP, NIOP, NIP",0,0,0,0,0,0,0,10,0,0,4356
2014,"Úrazová nemocnice v Brně","00209813","72933000","CZ0642","Nemocnice",121,23,0,0,0,0,0,0,38479,8225,0
2014,"Úrazová nemocnice v Brně","00209813","72933950","CZ0642","Odborné léčebné ústavy",0,0,0,0,30,0,0,0,0,0,8059
2014,"Ústav chirurgie ruky a plast. chirurgie","00193011","67711000","CZ0514","Nemocnice",52,0,0,0,0,0,0,0,10448,0,0
2014,"Ústav hematologie a krevní transfuze","00023736","02002000","CZ0100","Fakultní nemocnice",16,21,0,0,0,0,0,0,5056,5408,0
2014,"Ústav pro péči o matku a dítě","00023698","04004000","CZ0100","Fakultní nemocnice",222,35,0,0,0,0,0,0,56275,13742,0
2014,"ČR, VS ČR, VV a ÚpVZD Praha Pankrác","00212423","04150000","CZ0100","Nemocnice",54,0,0,49,0,0,0,0,14929,0,1544
