Nazev,Adresa_plna,Popis,Lon,Lat,Group_ID,Marker_Color,Marker_Symbol,URL,Feature_ID,Zrizovatel,Pocet_luzek,Pocet_lekaru,Pocet_sester,Pocet_hospitalizaci,Pocet_ambulantnich_vysetreni
Nemocnice Bílovec,"Nemocnice Bílovec, 17. listopadu 538/57, 743 01 Bílovec, Czechia","Zřizovatel: kraj 
Počet lůžek: 130 
Počet lékařů: 32 
Počet sester: 62 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",18.017477,49.763008,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=149853&typ=UPLNY,1721760614,kraj,130,32,62,/,/
Nemocnice Břeclav p.o.,"Nemocnice Břeclav p.o., U Nemocnice, 690 25 Břeclav, Czechia","Zřizovatel: kraj 
Počet lůžek: 419 
Počet lékařů: 141 
Počet sester: 477 
Počet hospitalizací: 19087 
Počet ambulantních vyšetření: 181185",16.879477,48.752294,2451465079,#e32c31,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=609520&typ=UPLNY,2438256790,kraj,419,141,477,19087,181185
Nemocnice Cheb,"Nemocnice Cheb, K Nemocnici, 350 02 Cheb, Czechia","Zřizovatel: kraj 
Počet lůžek: 240 
Počet lékařů: 63 
Počet sester: 152 
Počet hospitalizací: 10190 
Počet ambulantních vyšetření: 66899",12.36609,50.069676,3640402910,#2a4ea1,hotel,,948668608,kraj,240,63,152,10190,66899
Nemocnice Chomutov,"Nemocnice Chomutov, Edisonova, 430 01 Chomutov, Czechia","Zřizovatel: kraj 
Počet lůžek: 377 
Počet lékařů: 125 
Počet sester: 376 
Počet hospitalizací: 14402 
Počet ambulantních vyšetření: 186587",13.40983,50.453467,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=27885&typ=UPLNY,2563555583,kraj,377,125,376,14402,186587
Nemocnice Dačice,"Nemocnice Dačice, Antonínská, 380 01 Dačice, Czechia","Zřizovatel: kraj 
Počet lůžek: / 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.431072,49.076045,1652591349,#ffcc00,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=26406&typ=UPLNY,3081247027,kraj,/,/,/,/,/
Nemocnice Děčín,"Nemocnice Děčín, U Nemocnice, 405 02 Děčín, Czechia","Zřizovatel: kraj 
Počet lůžek: 308 
Počet lékařů: 98 
Počet sester: 255 
Počet hospitalizací: 13662 
Počet ambulantních vyšetření: 176252",14.226296,50.781692,1032119212,#f1ae29,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=27885&typ=UPLNY,1886810693,kraj,308,98,255,13662,176252
Nemocnice Frýdek-Místek,"Nemocnice Frýdek-Místek, U Nemocnice, 738 01 Frýdek-Místek, Czechia","Zřizovatel: kraj 
Počet lůžek: 477 
Počet lékařů: 197 
Počet sester: 749 
Počet hospitalizací: 19864 
Počet ambulantních vyšetření: 277898",18.35415,49.69097,2744332045,#005e38,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=243888&typ=UPLNY,2394346868,kraj,477,197,749,19864,277898
Nemocnice Frýdlant,"Nemocnice Frýdlant, V Úvoze, 464 01 Frýdlant, Czechia","Zřizovatel: kraj 
Počet lůžek: 126 
Počet lékařů: / 
Počet sester: / 
Počet hospitalizací: / 
Počet ambulantních vyšetření: /",15.088002,50.926539,3650692710,#1b8893,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=654295&typ=UPLNY,4130833931,kraj,126,/,/,/,/
Nemocnice Hořovice,"Nemocnice Hořovice, K Nemocnici 1106/14, 268 01 Hořovice, Czechia","Zřizovatel: Soukromý vlastník 
Počet lůžek: / 
Počet lékařů: /
Počet sester: / 
Počet hospitalizací: 19029 
Počet ambulantních vyšetření: 575035",13.9156,49.840634,1987940417,#fb6033,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=690404&typ=UPLNY,198755855,Soukromý vlastník,/,/,/,19029,575035
Nemocnice Hranice,"Nemocnice Hranice, Zborovská, 753 01 Hranice, Czechia","Zřizovatel: soukromý vlastník - Nemocnice Hranice, a.s.
Počet lůžek: 202 
Počet lékařů: 67 
Počet sester: 188 
Počet hospitalizací: /
Počet ambulantních vyšetření: /",17.747147,49.555495,465184557,,hotel,https://or.justice.cz/ias/ui/rejstrik-firma.vysledky?subjektId=142037&typ=UPLNY,638794577,"soukromý vlastník - Nemocnice Hranice, a.s.",202,67,188,/,/
