Okres,Obec,0-14_let_celkem,0-14_let_muzi,0-14_let_zeny,15-64_let_celkem,15-64_let_muzi,15-64_let_zeny,65+_let_celkem,65+_let_muzi,65+_let_zeny,Prumerny_vek_celkem,Prumerny_vek_muzi,Prumerny_vek_zeny,Index_stari
Okres Kutná Hora,Hostovlice,8.097165992,9.420289855,6.422018349,72.46963563,73.1884058,71.55963303,19.43319838,17.39130435,22.01834862,45.68218623,43.76086957,48.1146789,240
Okres Kutná Hora,Hraběšín,11.81818182,15.51724138,7.692307692,59.09090909,63.79310345,53.84615385,29.09090909,20.68965517,38.46153846,47.96363636,44.32758621,52.01923077,246.1538462
Okres Kutná Hora,Chabeřice,12.45551601,10.79136691,14.08450704,65.48042705,68.34532374,62.67605634,22.06405694,20.86330935,23.23943662,45.45373665,45.88129496,45.03521127,177.1428571
Okres Kutná Hora,Chlístovice,15.50387597,16.24365482,14.73684211,62.79069767,63.70558376,61.84210526,21.70542636,20.05076142,23.42105263,44.37984496,44.21573604,44.55,140
Okres Kutná Hora,Chotusice,18.54545455,20.23529412,16.75,60.24242424,60.94117647,59.5,21.21212121,18.82352941,23.75,41.62363636,40.16352941,43.175,114.379085
Okres Kutná Hora,Kácov,18.81313131,18.84816754,18.7804878,56.18686869,58.37696335,54.14634146,25,22.77486911,27.07317073,43.92171717,42.92931937,44.84634146,132.885906
Okres Kutná Hora,Kluky,20,18.50533808,21.56133829,58.54545455,60.49822064,56.50557621,21.45454545,20.99644128,21.9330855,42.41818182,42.78469751,42.03531599,107.2727273
Okres Kutná Hora,Kobylnice,13.88888889,17.43119266,10.28037383,69.44444444,66.05504587,72.89719626,16.66666667,16.51376147,16.82242991,41.76851852,41.06880734,42.48130841,120
Okres Kutná Hora,Košice,12.06896552,11.53846154,12.5,70.68965517,76.92307692,65.625,17.24137931,11.53846154,21.875,42.93103448,41.92307692,43.75,142.8571429
Okres Kutná Hora,Krchleby,16.33663366,15.2173913,17.27272727,58.66336634,59.7826087,57.72727273,25,25,25,44.61386139,44.64130435,44.59090909,153.030303
Okres Kutná Hora,Křesetice,18.32884097,16.84491979,19.83695652,64.28571429,68.18181818,60.32608696,17.38544474,14.97326203,19.83695652,40.61725067,39.97593583,41.26902174,94.85294118
Okres Kutná Hora,Kutná Hora,15.50226412,15.87241314,15.15124235,62.96552999,65.58762104,60.4789341,21.5322059,18.53996582,24.36982355,43.32857407,41.81118284,44.76755492,138.8971684
Okres Kutná Hora,Ledečko,17.42738589,19.00826446,15.83333333,63.07053942,62.80991736,63.33333333,19.50207469,18.18181818,20.83333333,41.28423237,39.61570248,42.96666667,111.9047619
Okres Kutná Hora,Malešov,16.31878558,15.01976285,17.51824818,62.80834915,65.41501976,60.40145985,20.87286528,19.56521739,22.08029197,43.49525617,44.05731225,42.97627737,127.9069767
Okres Kutná Hora,Miskovice,16.24454148,16.16871705,16.31944444,66.98689956,68.54130053,65.45138889,16.76855895,15.28998243,18.22916667,41.42489083,41.21001757,41.63715278,103.2258065
Okres Kutná Hora,Močovice,21.89054726,24.63054187,19.09547739,58.20895522,58.12807882,58.29145729,19.90049751,17.24137931,22.61306533,41.10199005,39.66748768,42.56532663,90.90909091
Okres Kutná Hora,Nepoměřice,13.02325581,12.72727273,13.33333333,66.04651163,70,61.9047619,20.93023256,17.27272727,24.76190476,43.44883721,41.90909091,45.06190476,160.7142857
Okres Kutná Hora,Nové Dvory,13.78169791,13.04347826,14.62264151,67.58544653,72.46376812,62.02830189,18.63285557,14.49275362,23.3490566,42.44928335,41.11283644,43.97169811,135.2
Okres Kutná Hora,Okřesaneč,18.30985915,22.64150943,14.01869159,60.56338028,58.49056604,62.61682243,21.12676056,18.86792453,23.36448598,41.34037559,38.39622642,44.25700935,115.3846154
Okres Kutná Hora,Onomyšl,18.53932584,20,16.86746988,65.4494382,65.26315789,65.6626506,16.01123596,14.73684211,17.46987952,39.65449438,38.53157895,40.93975904,86.36363636
Okres Kutná Hora,Opatovice I,19.88950276,16.66666667,24.05063291,60.77348066,67.64705882,51.89873418,19.33701657,15.68627451,24.05063291,41.31767956,40.98039216,41.75316456,97.22222222
Okres Kutná Hora,Paběnice,22.12389381,20.72072072,23.47826087,59.2920354,63.06306306,55.65217391,18.5840708,16.21621622,20.86956522,39.98230088,38.86036036,41.06521739,84
Okres Kutná Hora,Pertoltice,15.6626506,11.36363636,20.51282051,55.42168675,61.36363636,48.71794872,28.91566265,27.27272727,30.76923077,47.31325301,47.73863636,46.83333333,184.6153846
Okres Kutná Hora,Petrovice I,12.86173633,11.56462585,14.02439024,60.45016077,63.94557823,57.31707317,26.68810289,24.48979592,28.65853659,46.16559486,45.63605442,46.6402439,207.5
Okres Kutná Hora,Petrovice II,19.23076923,22.53521127,16.47058824,57.69230769,57.74647887,57.64705882,23.07692308,19.71830986,25.88235294,43.43589744,41.57042254,44.99411765,120
Okres Kutná Hora,Podveky,13.33333333,11.21495327,15.53398058,57.14285714,57.94392523,56.31067961,29.52380952,30.8411215,28.15533981,48.14761905,48.28504673,48.00485437,221.4285714
Okres Kutná Hora,Potěhy,17.32283465,17.04918033,17.57575758,61.1023622,60.98360656,61.21212121,21.57480315,21.96721311,21.21212121,43.21496063,44.25737705,42.25151515,124.5454545
